"%_01 Haley-"
"%_SUBJECT SCAN DATE:_18-Jul-2024 10:24:08"
"%_qcScans_v2_01_DATE:_18-Jul-2024 10:24:58"
"%_OUTLIERS FOR SNR, Y_INTERCEPT, AREA SUM, AREA CUMSUM (QUARTILES) EXCLUDED"
"%_THLD_SNR=4"
"%_THLD_YINTCP=0.6"
"%_# OF RECOMMENDED SCANS:_19"
"%_0   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20_: RECOMMENDED SCANS (Zeros represent non-recommended scans)"
"%_0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0_: DETECTED SCANS BY THLD_SNR (1s represent detected scans)"
"%_0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0_: DETECTED SCANS BY THLD_YINTCP (1s represent detected scans)"
"%_0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0_: DETECTED SCANS BY OUTLIERS_YINTCP (1s represent detected scans)"
"%_1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0_: DETECTED SCANS BY OUTLIERS_SUM_AREA (1s represent detected scans)"
"%_1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0_: DETECTED SCANS BY OUTLIERS_CUM_AREA (1s represent detected scans)"
"%_SUGGESTION FOR PASS- AND FAIL-SCAN SUBJECT TO CRITERIA ABOVE"
"%_SCAN:1, OFFSET(uV) =4.3132e-18, SNR =19.1413, TEST =FAIL"
"%_SCAN:2, OFFSET(uV) =-3.9211e-18, SNR =17.7207, TEST =PASS"
"%_SCAN:3, OFFSET(uV) =3.0808e-18, SNR =18.9997, TEST =PASS"
"%_SCAN:4, OFFSET(uV) =1.1203e-18, SNR =19.4243, TEST =PASS"
"%_SCAN:5, OFFSET(uV) =-1.3444e-18, SNR =19.0756, TEST =PASS"
"%_SCAN:6, OFFSET(uV) =-1.5684e-18, SNR =18.5019, TEST =PASS"
"%_SCAN:7, OFFSET(uV) =3.3609e-18, SNR =20.2693, TEST =PASS"
"%_SCAN:8, OFFSET(uV) =-1.7925e-18, SNR =19.5149, TEST =PASS"
"%_SCAN:9, OFFSET(uV) =7.8421e-19, SNR =18.2251, TEST =PASS"
"%_SCAN:10, OFFSET(uV) =-1.3444e-18, SNR =19.5205, TEST =PASS"
"%_SCAN:11, OFFSET(uV) =-6.7218e-18, SNR =19.9279, TEST =PASS"
"%_SCAN:12, OFFSET(uV) =-2.8008e-18, SNR =19.1373, TEST =PASS"
"%_SCAN:13, OFFSET(uV) =-2.0166e-18, SNR =17.7129, TEST =PASS"
"%_SCAN:14, OFFSET(uV) =4.2152e-18, SNR =18.9353, TEST =PASS"
"%_SCAN:15, OFFSET(uV) =-1.6805e-18, SNR =19.9873, TEST =PASS"
"%_SCAN:16, OFFSET(uV) =3.809e-18, SNR =19.5852, TEST =PASS"
"%_SCAN:17, OFFSET(uV) =8.7384e-18, SNR =19.9296, TEST =PASS"
"%_SCAN:18, OFFSET(uV) =-6.9459e-18, SNR =21.1621, TEST =PASS"
"%_SCAN:19, OFFSET(uV) =-3.9211e-18, SNR =19.4104, TEST =PASS"
"%_SCAN:20, OFFSET(uV) =2.4087e-18, SNR =21.8829, TEST =PASS"
%_
%_avgScans_v2_01_DATE:_18-Jul-2024 10:26:31
%_SNR of DATA_AVG =80.8354
%_YINTCP_AVG =1.499 uV
%_TABLE OF TIME [s] AND MAGNITUDE [uV] OF THE AVERAGE DATA
%TIME(s),%AMP(uV)
0.00288,1.50649519072982
0.00336,1.50650788191387
0.00384,1.48407611589508
0.00432,1.48392988536924
0.0048,1.47359105949191
0.00528,1.45481258996361
0.00576,1.43478400866848
0.00624,1.46167884905952
0.00672,1.4141384125077
0.0072,1.41186402941127
0.00768,1.39923702270607
0.00816,1.35777499524792
0.00864,1.3746197046346
0.00912,1.36149140934345
0.0096,1.32079413682915
0.01008,1.32946805190733
0.01056,1.34135631108074
0.01104,1.30402048361354
0.01152,1.3194649976854
0.012,1.31594836528777
0.01248,1.30128557136406
0.01296,1.26513808448454
0.01344,1.27495486682564
0.01392,1.28567228164988
0.0144,1.26480011474574
0.01488,1.27190332311309
0.01536,1.26310201343813
0.01584,1.25644627388494
0.01632,1.25363526353562
0.0168,1.24825829547909
0.01728,1.210803836772
0.01776,1.22165720704754
0.01824,1.21306493488747
0.01872,1.20473049543365
0.0192,1.19587263445702
0.01968,1.19203504895306
0.02016,1.17704707283576
0.02064,1.17011362973291
0.02112,1.1387984370123
0.0216,1.1432444047544
0.02208,1.15377299452516
0.02256,1.13809972494657
0.02304,1.11417677642543
0.02352,1.11017711281552
0.024,1.11529701255914
0.02448,1.09436874735872
0.02496,1.11873066901687
0.02544,1.0808361003624
0.02592,1.09323072101893
0.0264,1.09046183650854
0.02688,1.06962936910735
0.02736,1.06928603572054
0.02784,1.03706432646778
0.02832,1.07919175696153
0.0288,1.02457227590415
0.02928,1.03613020007047
0.02976,1.06231917945346
0.03024,1.0602261972763
0.03072,1.02639369580367
0.0312,1.02179478709288
0.03168,1.02558915192972
0.03216,1.00792228209723
0.03264,0.985997178847925
0.03312,0.999874513956071
0.0336,1.00270957507024
0.03408,0.969369494020141
0.03456,0.982237067667583
0.03504,0.973251682661313
0.03552,0.98125092498295
0.036,0.976359822603484
0.03648,0.964785064952201
0.03696,0.954311984760235
0.03744,0.954340741139296
0.03792,0.921809327483754
0.0384,0.946473146166645
0.03888,0.968412513293113
0.03936,0.936957130994051
0.03984,0.941903763429665
0.04032,0.910820466653986
0.0408,0.896206056742091
0.04128,0.909857615119854
0.04176,0.913384368967181
0.04224,0.919121287097204
0.04272,0.876784753432882
0.0432,0.880903286580816
0.04368,0.883631609644278
0.04416,0.884228235087599
0.04464,0.872056175612928
0.04512,0.882336311490557
0.0456,0.890129471496858
0.04608,0.856353949606056
0.04656,0.854375255791053
0.04704,0.857888949922615
0.04752,0.850755330391146
0.048,0.873054632164863
0.04848,0.861320060675413
0.04896,0.847766242088797
0.04944,0.833694473237142
0.04992,0.83294400917231
0.0504,0.809445515761549
0.05088,0.829416053519604
0.05136,0.829064035927367
0.05184,0.801031846260185
0.05232,0.807359151023819
0.0528,0.799294906171555
0.05328,0.803211172628879
0.05376,0.824895045966685
0.05424,0.800860149123943
0.05472,0.791524668245365
0.0552,0.783285831110448
0.05568,0.796996097088764
0.05616,0.75259614259839
0.05664,0.777231231290232
0.05712,0.778800738342641
0.0576,0.785877886462535
0.05808,0.760601462762521
0.05856,0.7794838074873
0.05904,0.767838407639103
0.05952,0.724203167304148
0.06,0.735436673198481
0.06048,0.750803170118245
0.06096,0.740568166792828
0.06144,0.744951156932029
0.06192,0.749886620306403
0.0624,0.732295579911144
0.06288,0.728249382511372
0.06336,0.736013617314403
0.06384,0.749924957794346
0.06432,0.703801862706679
0.0648,0.688713138049802
0.06528,0.696054877721224
0.06576,0.716214678866911
0.06624,0.722081478781621
0.06672,0.706713712033337
0.0672,0.707440404654458
0.06768,0.684494839870807
